date,qual_up,qual_down,qual_same,mrw_mean,mrw_sd,mrw_iqr,reis_mean,reis_skew,reis_sd
1948q1,.56818199,.18181799,.25,.033633001,.062272001,.084003001,,,
1948q2,.180723,.46988001,.34939799,-.01943,.046425,.062625997,,,
1948q3,.51219499,.182927,.304878,.024543,.052508,.070832998,,,
1948q4,,,,,,,,,
1949q1,.096386001,.662651,.240964,-.044751,.051972002,.070109002,,,
1949q2,,,,,,,,,
1949q3,.078652002,.53932601,.38202199,-.026381001,.034875002,.047045,,,
1949q4,,,,,,,,,
1950q1,.142857,.42857099,.42857099,-.016318999,.036772002,.049605001,,,
1950q2,,,,,,,,,
1950q3,,,,,,,,,
1950q4,,,,,,,,,
1951q1,.78823501,.023529001,.188235,.053909998,.038699001,.052204002,,,
1951q2,.51219499,.158537,.32926801,.024383999,.047299001,.063805997,,,
1951q3,,,,,,,,,
1951q4,.67500001,.087499999,.2375,.046002999,.050829999,.068567999,,,
1952q1,.588889,.077777997,.33333299,.03156,.038373999,.051766001,,,
1952q2,.378378,.16216201,.45945901,.011968,.035416,.047775,,,
1952q3,,,,,,,,,
1952q4,.106667,.413333,.47999999,-.016073,.031348001,.042288002,,,
1953q1,,,,,,,,,
1953q2,,,,,,,,,
1953q3,,,,,,,,,
1953q4,.153846,.318681,.52747297,-.0084389998,.030758999,.041492999,,,
1954q1,,,,,,,,,
1954q2,.131868,.36263701,.505494,-.011964,.031229001,.042126998,,,
1954q3,,,,,,,,,
1954q4,.147368,.336842,.51578897,-.0097859995,.031231999,.042130999,,,
1955q1,,,,,,,,,
1955q2,.30000001,.2,.5,.0053269998,.033583999,.045304,,,
1955q3,,,,,,,,,
1955q4,.39772701,.136364,.465909,.014168,.033831,.045637,,,
1956q1,,,,,,,,,
1956q2,.44943801,.101124,.44943801,.018781001,.032715999,.044133,,,
1956q3,.517241,.103448,.37931001,.024565,.037636999,.050772,,,
1956q4,.51764703,.058823999,.423529,.024273001,.030172,.040702,,,
1957q1,,,,,,,,,
1957q2,.488372,.069766998,.44185999,.022050999,.030448999,.041074999,,,
1957q3,,,,,,,,,
1957q4,.48888901,.144444,.366667,.021764001,.042149,.056859002,,,
1958q1,,,,,,,,,
1958q2,.435294,.21176501,.35294101,.015179,.047628,.064249001,,,
1958q3,,,,,,,,,
1958q4,.48314601,.101124,.41573,.021467,.034821998,.046975002,,,
1959q1,,,,,,,,,
1959q2,.58620697,.068966001,.34482801,.030832,.036245,.048893001,,,
1959q3,,,,,,,,,
1959q4,.625,.056818001,.31818199,.034508001,.036311001,.048983,,,
1960q1,,,,,,,,,
1960q2,.58620691,.080459774,.33333334,.031375777,.038740691,.052260399,,,
1960q3,,,,,,,,,
1960q4,.51219511,.085365854,.40243903,.023985386,.03425432,.046208374,,,
1961q1,.65591395,.086021505,.25806451,.042030949,.047573086,.064175114,,,
1961q2,.65168542,.056179777,.29213482,.037870459,.038300361,.051666401,,,
1961q3,,,,,,,,,
1961q4,.66292137,.044943821,.29213482,.038060032,.035966087,.048517514,,,
1962q1,.69148934,.031914894,.27659574,.039890584,.033899762,.045730084,,,
1962q2,.66292137,.044943821,.29213482,.038060032,.035966087,.048517514,,,
1962q3,.6111111,.055555556,.33333334,.032813773,.034993239,.047205161,,,
1962q4,.65909094,.045454547,.29545453,.037624925,.035822943,.048324417,,,
1963q1,.75531918,.031914894,.21276596,.050230891,.039478965,.053256314,,,
1963q2,,,,,,,,,
1963q3,,,,,,,,,
1963q4,.67391306,.021739131,.30434781,.036123026,.029251421,.039459568,,,
1964q1,.73913044,.032608695,.22826087,.04736786,.038131744,.051438939,,,
1964q2,.73913044,.032608695,.22826087,.04736786,.038131744,.051438939,,,
1964q3,,,,,,,,,
1964q4,,,,,,,,,
1965q1,.75531918,.010638298,.23404256,.042616133,.028464226,.038397659,,,
1965q2,,,,,,,,,
1965q3,.7912088,.010989011,.1978022,.048063233,.03099484,.041811403,,,
1965q4,.78494626,.010752688,.20430107,.046909682,.030381922,.04098459,,,
1966q1,.76041669,.020833332,.21875,.047362015,.034514412,.046559233,,,
1966q2,.80612242,.030612245,.1632653,.062239915,.045504227,.061384268,.024517605,.0073195547,.031991385
1966q3,.8877551,.020408163,.091836736,.090018548,.055224974,.074497357,.032436874,.0070825624,.032543734
1966q4,,,,,,,.029675744,.0071806242,.031844731
1967q1,.84848487,.02020202,.13131313,.06927865,.044992689,.060694214,.026772151,.0075916015,.030622374
1967q2,.8923077,.014615385,.093076922,.083307602,.048728514,.065733768,.028646864,.0081079323,.031470336
1967q3,.89252818,.0092118727,.098259978,.073873967,.041074459,.055408601,.030318901,.0089954175,.031925771
1967q4,.91955191,.0081466399,.072301425,.087245688,.045866366,.061872788,.034291565,.0084780492,.032302216
1968q1,,,,,,,.033187702,.007153919,.031703003
1968q2,.89441627,.0081218267,.097461931,.072686814,.039787445,.053672448,.03224878,.0066852737,.030892752
1968q3,.90417939,.01019368,.085626908,.082048304,.045269519,.061067652,.033243749,.008714539,.032426704
1968q4,.80144036,.02366255,.17489712,.05711627,.040362623,.054448351,.024598591,.0066339378,.031758498
1969q1,.8503539,.023255814,.12639029,.072916009,.048150472,.064953998,.030675309,.0083355438,.033984926
1969q2,.91065991,.015228426,.074111678,.098244049,.055996619,.075538293,.037110366,.006327617,.033829156
1969q3,.87614214,.026395939,.097461931,.090862773,.058762651,.07926961,.036530003,.0049732849,.035455868
1969q4,.78415018,.05422315,.1616267,.066985704,.056019764,.07556951,.024479577,.0073018707,.034160804
1970q1,.83708465,.03215434,.13076098,.074899137,.052884039,.071339481,.034183562,.0042256876,.03859932
1970q2,.84307361,.037878789,.11904762,.083047919,.059681848,.080509588,.036633335,.0029359239,.039833538
1970q3,.77789474,.050526317,.17157894,.063067593,.052449804,.070753708,.027957354,.0053074141,.036435176
1970q4,.83713353,.031487513,.13137893,.074368037,.052332923,.070596039,.033410002,.0037281611,.037869327
1971q1,.84166664,.035416666,.12291667,.079987973,.056974012,.076856777,.033876315,.0048059332,.037066583
1971q2,.82751322,.04021164,.13227513,.076834589,.057070524,.076986969,.029936986,.0051049255,.035657007
1971q3,.62328768,.05821918,.31849316,.034413882,.03653226,.049281269,.017966038,.0085903285,.037479449
1971q4,.6769231,.039560441,.2835165,.039181162,.035379272,.047725912,.020135345,.0075919451,.037119769
1972q1,.75539571,.016443988,.22816032,.044941708,.031816952,.042920414,.025616668,.0055138753,.035407163
1972q2,.60123968,.079545453,.31921488,.033158761,.039837692,.053740229,.015905358,.0085330755,.036166403
1972q3,.71781671,.038105045,.24407826,.04503271,.038334187,.051712032,.02269,.0067831967,.036195289
1972q4,.73480082,.034591194,.23060797,.0471287,.038557,.052012604,.022784615,.0071779084,.035420224
1973q1,.83558792,.042663891,.12174818,.083142377,.061654054,.083170056,.038905263,.0036495721,.041859627
1973q2,.72793353,.057113189,.21495327,.051540524,.04715395,.063609712,.034721874,.0037702837,.045307498
1973q3,.72860128,.097077243,.1743215,.063413315,.066506714,.089716196,.043322727,.00096325128,.05027093
1973q4,.67650157,.083245523,.2402529,.045634549,.049562231,.066858433,.032466665,.004380676,.047327336
1974q1,.87667006,.019527234,.10380267,.081657507,.050685689,.068373956,.057748195,-.0013152456,.047205299
1974q2,.81508267,.056818184,.12809917,.082973935,.066945754,.09030845,.051375341,-.000427055,.049298231
1974q3,.81622177,.033880904,.14989734,.067601539,.049567655,.06686575,.052235618,-.00053542922,.049058646
1974q4,.84024894,.0373444,.12240664,.080975443,.058300756,.078646526,.059208002,-.0032099376,.051371492
