downorsame,inf_1to2,inf_3to4,inf_5,inf_6to9,inf_10to14,dontknowup,dontknow,date,reis_mean,reis_skew,reis_sd
19,35,9,20,3,4,8,2,1966q2,2.4517605,.73195547,3.1991386
11,33,12,25,4,6,7,2,1966q3,3.2436874,.70825624,3.2543736
13,35,13,23,4,5,6,2,1966q4,2.9675744,.7180624,3.184473
15,37,14,21,3,4,5,1,1967q1,2.6772151,.75916016,3.0622375
13,37,14,22,3,5,5,2,1967q2,2.8646865,.81079322,3.1470335
11,37,14,23,2,6,5,2,1967q3,3.0318902,.8995418,3.1925771
8,35,12,26,3,7,7,2,1967q4,3.4291565,.8478049,3.2302215
10,33,15,26,4,6,7,2,1968q1,3.3187702,.71539187,3.1703002
11,31,17,25,4,5,6,1,1968q2,3.2248781,.66852736,3.0892751
9,35,11,25,2,7,9,2,1968q3,3.3243749,.87145388,3.2426705
19,32,10,24,1,4,7,3,1968q4,2.4598591,.6633938,3.1758499
14,34,14,24,2,7,4,1,1969q1,3.0675309,.83355439,3.3984926
9,28,13,29,4,8,7,2,1969q2,3.7110367,.63276172,3.3829157
13,26,9,32,5,8,6,1,1969q3,3.6530001,.49732849,3.5455866
21,31,10,23,2,5,4,4,1969q4,2.4479578,.73018706,3.4160802
15,21,11,28,4,9,5,7,1970q1,3.4183562,.42256874,3.8599319
14,19,8,30,5,10,6,8,1970q2,3.6633334,.29359239,3.9833539
21,22,13,23,4,6,6,5,1970q3,2.7957354,.53074139,3.6435175
15,20,10,28,4,8,7,8,1970q4,3.3410001,.37281612,3.7869327
15,25,10,28,5,8,5,4,1971q1,3.3876317,.48059332,3.7066584
17,26,11,25,5,6,5,5,1971q2,2.9936986,.51049256,3.5657008
33,18,8,19,3,5,3,11,1971q3,1.7966038,.85903281,3.7479448
30,21,7,22,3,5,3,9,1971q4,2.0135345,.75919449,3.7119768
24,23,13,25,3,5,4,3,1972q1,2.5616667,.55138755,3.5407162
39,23,5,22,2,4,3,2,1972q2,1.5905358,.85330755,3.6166403
28,25,9,23,3,5,4,3,1972q3,2.2690001,.67831969,3.6195288
25,28,6,24,2,5,5,5,1972q4,2.2784615,.71779084,3.5420222
16,21,5,33,4,13,4,4,1973q1,3.8905263,.36495721,4.1859627
26,15,4,27,5,13,6,4,1973q2,3.4721875,.37702838,4.5307498
26,7,2,31,6,20,4,4,1973q3,4.3322725,.096325129,5.0270929
31,11,3,29,3,14,4,5,1973q4,3.2466667,.43806762,4.7327337
12,12,4,32,7,28,3,2,1974q1,5.7748194,-.13152456,4.72053
18,10,3,32,3,25,6,3,1974q2,5.1375341,-.042705499,4.9298229
18,11,3,29,5,25,7,2,1974q3,5.2235618,-.053542919,4.9058647
15,9,1,29,4,32,6,4,1974q4,5.9208002,-.32099375,5.1371493
40,7,4,20,4,16,5,4,1975q1,3.0047059,.5202648,5.1164808
52,9,3,17,3,8,4,4,1975q2,1.4625,1.0447965,4.3986425
19,15,5,31,5,19,4,2,1975q3,4.4706001,.20111535,4.6426225
22,15,3,30,5,16,6,3,1975q4,4.0436954,.24931639,4.6066198
27,10,6,21,10,13,10,3,1976q1,3.8,.18096052,4.6338105
22,21,3,30,4,10,5,5,1976q2,3.2314706,.46402863,4.1490321
22,13,9,23,9,10,10,4,1976q3,3.6473436,.21331425,4.2151327
29,14,7,22,7,11,6,4,1976q4,3.1544263,.43571728,4.4633646
