date,mrw_mean,reis_mean
1948q1,.033633001,
1948q2,-.01943,
1948q3,.024543,
1948q4,,
1949q1,-.044751,
1949q2,,
1949q3,-.026381001,
1949q4,,
1950q1,-.016318999,
1950q2,,
1950q3,,
1950q4,,
1951q1,.053909998,
1951q2,.024383999,
1951q3,,
1951q4,.046002999,
1952q1,.03156,
1952q2,.011968,
1952q3,,
1952q4,-.016073,
1953q1,,
1953q2,,
1953q3,,
1953q4,-.0084389998,
1954q1,,
1954q2,-.011964,
1954q3,,
1954q4,-.0097859995,
1955q1,,
1955q2,.0053269998,
1955q3,,
1955q4,.014168,
1956q1,,
1956q2,.018781001,
1956q3,.024565,
1956q4,.024273001,
1957q1,,
1957q2,.022050999,
1957q3,,
1957q4,.021764001,
1958q1,,
1958q2,.015179,
1958q3,,
1958q4,.021467,
1959q1,,
1959q2,.030832,
1959q3,,
1959q4,.034508001,
1960q1,,
1960q2,.031375777,
1960q3,,
1960q4,.023985386,
1961q1,.042030949,
1961q2,.037870459,
1961q3,,
1961q4,.038060032,
1962q1,.039890584,
1962q2,.038060032,
1962q3,.032813773,
1962q4,.037624925,
1963q1,.050230891,
1963q2,,
1963q3,,
1963q4,.036123026,
1964q1,.04736786,
1964q2,.04736786,
1964q3,,
1964q4,,
1965q1,.042616133,
1965q2,,
1965q3,.048063233,
1965q4,.046909682,
1966q1,.047362015,
1966q2,.062239915,.024517605
1966q3,.090018548,.032436874
1966q4,,.029675744
1967q1,.06927865,.026772151
1967q2,.083307602,.028646864
1967q3,.073873967,.030318901
1967q4,.087245688,.034291565
1968q1,,.033187702
1968q2,.072686814,.03224878
1968q3,.082048304,.033243749
1968q4,.05711627,.024598591
1969q1,.072916009,.030675309
1969q2,.098244049,.037110366
1969q3,.090862773,.036530003
1969q4,.066985704,.024479577
1970q1,.074899137,.034183562
1970q2,.083047919,.036633335
1970q3,.063067593,.027957354
1970q4,.074368037,.033410002
1971q1,.079987973,.033876315
1971q2,.076834589,.029936986
1971q3,.034413882,.017966038
1971q4,.039181162,.020135345
1972q1,.044941708,.025616668
1972q2,.033158761,.015905358
1972q3,.04503271,.02269
1972q4,.0471287,.022784615
1973q1,.083142377,.038905263
1973q2,.051540524,.034721874
1973q3,.063413315,.043322727
1973q4,.045634549,.032466665
1974q1,.081657507,.057748195
1974q2,.082973935,.051375341
1974q3,.067601539,.052235618
1974q4,.080975443,.059208002
1975q1,.034419242,.030047059
1975q2,.018923525,.014625
1975q3,.060568362,.044706002
1975q4,.059656736,.040436953
1976q1,.048294123,.037999999
1976q2,.056600407,.032314707
1976q3,.058057718,.036473438
1976q4,.044421688,.031544264
1977q1,.059454031,
1977q2,.067277789,
1977q3,.064805001,
1977q4,.068519205,
